brand_name,os,screen_size,4g,5g,main_camera_mp,selfie_camera_mp,int_memory,ram,battery,weight,release_year,days_used,new_price
Vivo,Android,16.21,yes,no,13.0,12.0,64.0,6.0,4500.0,198.5,2019,451,250.5
Meizu,Android,12.75,yes,no,13.0,5.0,16.0,4.0,3000.0,143.0,2017,606,129.29
BlackBerry,Others,12.7,yes,no,8.0,2.0,16.0,4.0,2800.0,170.0,2015,1094,80.31
Others,Others,5.08,no,no,0.3,0.3,32.0,0.25,820.0,80.0,2013,636,20.95
Motorola,Android,12.83,yes,no,13.0,5.0,32.0,2.0,3000.0,140.0,2019,435,84.99
LG,Android,12.88,yes,no,16.0,5.0,32.0,4.0,3000.0,192.0,2015,867,249.58
Microsoft,Windows,12.7,no,no,5.0,5.0,32.0,4.0,1905.0,146.0,2014,683,79.92
Honor,Android,17.3,yes,yes,13.0,16.0,128.0,8.0,4300.0,213.0,2020,325,249.39
Vivo,Android,15.27,yes,no,13.0,12.0,64.0,4.0,3250.0,159.0,2017,863,390.45
Samsung,Android,25.43,no,no,8.0,2.0,16.0,4.0,8220.0,469.0,2014,920,360.88
Acer,Android,12.7,yes,no,8.0,2.0,32.0,4.0,2000.0,126.0,2016,617,119.67
Others,Android,12.88,yes,no,21.0,8.0,64.0,4.0,3100.0,185.0,2016,778,350.78
Xiaomi,Android,16.23,yes,no,12.0,16.0,64.0,6.0,4000.0,191.0,2019,329,498.77
Lenovo,Android,12.75,yes,no,13.0,8.0,32.0,4.0,4000.0,165.0,2017,763,170.67
Motorola,Android,15.34,yes,no,,16.0,128.0,4.0,4000.0,192.0,2020,176,165.75
Samsung,Android,10.16,yes,no,5.0,0.3,16.0,4.0,1800.0,130.3,2014,846,250.55
Alcatel,Android,17.78,no,no,2.0,0.3,32.0,4.0,2580.0,159.95,2016,813,80.18
Oppo,Android,15.34,yes,no,13.0,25.0,128.0,4.0,3600.0,156.0,2018,412,350.92
Alcatel,Android,17.78,no,no,2.0,0.3,32.0,4.0,2580.0,245.0,2018,564,69.98
Meizu,Android,12.88,yes,no,12.0,16.0,64.0,4.0,3500.0,170.0,2017,848,500.03
Oppo,Android,15.37,yes,no,8.0,16.0,128.0,4.0,5000.0,195.0,2019,481,152.99
Others,Android,10.34,no,no,8.0,2.0,32.0,4.0,2500.0,151.0,2015,1087,99.52
Others,Android,17.78,no,no,2.0,0.3,32.0,4.0,4000.0,305.0,2013,657,131.14
Others,Android,10.29,yes,no,8.0,2.0,16.0,4.0,3100.0,200.0,2014,760,319.58
Others,Others,5.28,no,no,1.3,0.3,32.0,0.25,820.0,90.0,2013,695,20.93
Asus,Android,13.84,yes,no,13.0,5.0,16.0,4.0,3000.0,140.0,2018,370,80.32
Others,Others,5.28,no,no,2.0,0.3,128.0,0.25,2500.0,154.0,2015,746,39.38
Honor,Android,15.21,yes,no,13.0,8.0,32.0,4.0,3000.0,164.0,2018,641,198.96
Sony,Android,10.34,yes,no,5.0,2.0,32.0,4.0,2300.0,135.0,2015,817,129.64
LG,Android,13.84,yes,no,8.0,5.0,16.0,1.0,3000.0,152.0,2019,380,100.12
Motorola,Android,12.7,no,no,8.0,2.0,32.0,4.0,2070.0,149.0,2014,1072,160.3
ZTE,Android,16.89,yes,yes,,12.0,256.0,8.0,5100.0,215.0,2020,235,598.66
Honor,Android,12.7,yes,no,8.0,2.0,32.0,4.0,2000.0,160.0,2014,847,99.99
Lenovo,Android,12.7,yes,no,8.0,2.0,16.0,4.0,2300.0,128.0,2014,929,78.9
Micromax,Android,12.7,no,no,13.0,5.0,16.0,4.0,2000.0,158.0,2013,965,227.97
Honor,Android,15.47,yes,no,13.0,8.0,64.0,3.0,3020.0,150.0,2020,268,111.46
Acer,Android,10.16,no,no,5.0,1.3,16.0,4.0,1630.0,122.0,2014,719,99.58
Oppo,Android,15.24,yes,no,16.0,16.0,64.0,4.0,4120.0,185.0,2016,913,548.63
Huawei,Android,15.34,yes,no,13.0,25.0,128.0,4.0,3750.0,172.0,2018,365,480.07
Honor,Android,12.88,yes,no,12.0,8.0,32.0,4.0,3500.0,170.0,2016,675,319.59
Asus,Android,15.24,yes,no,13.0,8.0,128.0,4.0,4000.0,200.0,2018,535,949.27
Panasonic,Android,12.7,yes,no,13.0,5.0,32.0,4.0,2500.0,143.0,2017,755,99.09
Others,Android,10.29,yes,no,5.0,0.3,32.0,4.0,1700.0,118.5,2016,650,129.08
Infinix,Android,15.29,yes,no,,16.0,32.0,2.0,4000.0,165.0,2019,468,130.49
Celkon,Android,10.16,no,no,5.0,1.3,16.0,4.0,1400.0,122.0,2014,549,80.39
Lenovo,Android,12.7,yes,no,13.0,5.0,32.0,4.0,2150.0,128.0,2015,987,279.56
Samsung,Android,20.42,yes,no,8.0,2.0,16.0,4.0,4800.0,335.0,2014,664,420.46
Realme,Android,15.37,yes,no,,5.0,32.0,3.0,5000.0,195.0,2020,111,100.14
Huawei,Android,10.34,yes,no,13.0,1.3,16.0,4.0,2420.0,122.0,2013,1016,210.52
Honor,Android,12.75,yes,no,20.0,8.0,16.0,4.0,3100.0,157.0,2015,960,300.51
Motorola,Android,12.7,yes,no,13.0,5.0,32.0,4.0,2470.0,155.0,2015,608,170.27
Apple,iOS,18.01,yes,no,8.0,1.2,16.0,4.0,5124.0,299.0,2015,547,360.03
ZTE,Android,12.75,yes,no,13.0,5.0,16.0,4.0,2500.0,160.0,2016,949,151.94
Xiaomi,Android,15.21,yes,no,13.0,13.0,64.0,4.0,4000.0,181.0,2018,543,180.64
Micromax,Android,12.7,no,no,5.0,2.0,32.0,4.0,3000.0,143.0,2015,750,169.37
Motorola,Android,15.14,yes,no,13.0,2.0,32.0,4.0,3220.0,184.0,2014,739,420.42
Vivo,Android,14.86,yes,no,16.0,14.0,64.0,4.0,4015.0,183.2,2017,662,391.35
Meizu,Android,12.83,yes,no,13.0,5.0,32.0,4.0,3060.0,163.0,2016,959,180.44
